client_id	path	sentence_id	sentence	sentence_domain	up_votes	down_votes	age	gender	accents	variant	locale	segment
b754665d88f64ef73927044204f2b33beddac31dd814771bd10d0fac414a6c096f742afffc574a62b936fabfd9a6396f3e58080208502b7d6c6506bbfbf0e8d4	common_voice_en_42706998.mp3	f8a2ea57acda1df191df7834834157334fc8ba310c2e8a2474da75eaee01992a	Excursions on the subject of "History of Germany" find great popularity.		0	2	twenties		United States English		en	
e04abd750761f3dd2898198eb3d4b3a9dad4341966372a46a935f2158e2c619153ee937642c1b8e42070810937597b6f924ab1bf70e38c3ec4d53b82acd1591d	common_voice_en_42743191.mp3	f8be0900f9e9945578396d9e0f8c03ec4fa2f1838985e7fe7967234f3c8bf1c9	Several marshy brooks also feed into the river throughout town.		0	2	twenties	female_feminine	Ugandan accent		en	
94dcbf4175c509fe24efeb3af03b2d6ad72d6cdc1bbffc255a0199b65311293ed7aa999a55f2666ac74b76edee6336c6be6ebd857699ba214767046018759b28	common_voice_en_42751682.mp3	f8e4b140c3fc5b783ffa53c58c29bea5e45674fb2bb8561803add64eb7dca7a5	Jeanne survived, but Norman died.		0	2	twenties	female_feminine	England English		en	
c1a71237085b022f2c0dea2bd668bfbc7e9ee74c8be807b622c2137450199300cb44839d0f54e5962ef3797bbd28b064852b9c2ebb75b23230f2009e3f7c2a71	common_voice_en_42765493.mp3	f8f02dea48220922b61f98cc8441414cc9247714ae29f23066d4a09725d8e335	Elkhart Lake is served by the Elkhart Lake-Glenbeulah School District.		0	5	fourties	female_feminine	United States English,Midwestern,Low,Demure		en	
2abad4772aeb9309647f9a9eb6b39f4ff440e33829763093f2f58d6b687ff80157ab8dbedcde305811df25a74cad9d2c7b14d93f3289425afe05a007284ae696	common_voice_en_42767959.mp3	f8e697ef505069bfba92b2c07558250e06ea8c17205a56cdc6f3b0b59096a4da	The George Washington Lambert painting "The Squatter's Daughter" was painted at Michelago.		0	2	fourties	female_feminine	England English		en	
cbeec11abbda112bb43b3ff71edea84d1d719a5de0b128b94d8c4bf6a12e7a62351177c917c55cc0f6ae96f56b794cfbae2cf81588260c89087bc534dcf6fa7a	common_voice_en_42780630.mp3	f92db3773e5653c1353abbd949b2fc0f67a541f55b570d7ef67a1aede6d7880a	The teamwork as a veteran excels the Team Lightning.		0	2			United States English		en	
254e6de9b3a7c9ba5ff10c8e23c64bee3f56afbfe8725bdab852900ed605ac7bcd3bce38477510eb0bb2da05eb8178c29bbb1225c3a020905e8fa919777357be	common_voice_en_42781268.mp3	f8edeeeb7eb5baf6d78735e847a68bc5b296de1bb32cfdc8efcb30e11a86e026	Tchaikovsky was having difficulties writing an opera entitled "Undine", which he would eventually destroy.		0	2			Ugandan english		en	
35a9c067d342354eeb6c91a485ab597ec52f209c9e2c4f5e11964d0cd3b3bcbfe6adc9fdd56bb4b134aed3175d44048efc352d29441e204a98bde9c35d553e3f	common_voice_en_42787655.mp3	f93ec0dccb58bde4864cf3c9074e6579e8c9cb651e98655b18dd0f9d01018b82	Their home games are played in Comstock Park, Michigan, a suburb of Grand Rapids.		0	2	twenties	female_feminine	United States English		en	
a05b9ecae26781f34867ab828f329f8e54b3998ad32ebb2e41158df7213b314d9a21cb117378ed356ebeafcd12e42af3e2fbd25b671f43f9d91e613e47491ada	common_voice_en_42788373.mp3	f925f2debe2810fd1fbfd01d68a50851b14bb0bd99ddd4977382586bba24d717	Polypropylene oxides conversely, may be inserted to increase the lipophilic character of a surfactant.		0	2	twenties	female_feminine	England English		en	
a05b9ecae26781f34867ab828f329f8e54b3998ad32ebb2e41158df7213b314d9a21cb117378ed356ebeafcd12e42af3e2fbd25b671f43f9d91e613e47491ada	common_voice_en_42788383.mp3	f930196594f0c066c031df99e638b9340a0b1ecd89a2bd1650f58f1f2d99dc24	He has degenerated very much, and is degenerating every day.		0	2	twenties	female_feminine	England English		en	
bcacbd20b21ae74bdd0da80bcb887c5f68a9d7d43f6431457ae65401e720ad49ead9173e446dfbcf054a134ffa917b31d8b2506c2d7fe12f9f21b2057d4eea3e	common_voice_en_42789285.mp3	f949f57e395094e7229bc895b6ed09068f8f9e3005772130e8889459a07681f1	The symmetric group "S" acts on "V".		0	2	thirties	female_feminine	England English		en	
dcc763098c03cfe04b1f1385f8c0310c114c33241c4215753c6c4b5b5419f455a000eac4770934d56c8fd5abf8fc3676b4d22a4337c4ca325b90ad1c370831ae	common_voice_en_42791968.mp3	f92ff2a2b0710c7a10db1f3c34e4efcd8b27a980c9ed9699a63fcae703b61738	These models were all white and had extra trim.		0	2	thirties	female_feminine	Uganda - English 		en	
6a39e422be2a4ac9fffc77a9321b5e8108b6660addf9be385301d331ae65efed5ca4d81783c1113184809bfe4c1990315740750d53a8eb89769666941391d4f2	common_voice_en_42795230.mp3	f94b425cd077b9a3c24d07cf0e43339920ed0bc4d16c357672998dc7535beb5b	He was born in Fayetteville.		0	2			England English		en	
2079970dcf2fd88e61e7108614711bf90bcb3d60ce2729b0bc84d54749b932addfce4c2d654b586fc810bc82456c979a1eb8417cd6315053cacb5be95de170c5	common_voice_en_42799537.mp3	f94f50aa59625a57dea2fdd9d22cfdcdc046c08eb063127ff17565e6879a1339	The Princeton Public Library, located in the borough, serves the borough and the township.		0	2	twenties	female_feminine	Southern African (South Africa, Zimbabwe, Namibia)		en	
2079970dcf2fd88e61e7108614711bf90bcb3d60ce2729b0bc84d54749b932addfce4c2d654b586fc810bc82456c979a1eb8417cd6315053cacb5be95de170c5	common_voice_en_42799552.mp3	f944396ebbf43e409a6082f8cb3176dbc11001e458ff72f905ec06d2f67e279e	It is surrounded by Pine Township, a separate municipality.		0	2	twenties	female_feminine	Southern African (South Africa, Zimbabwe, Namibia)		en	
5170d20616b7e59f871f957dcbddd1f994c9bc4983b6c2928f58a7cfb264d26ea15fb1cca526110a17a985224f693f3c1b3d8c9d0c69dce7ec74563e21e0f6f1	common_voice_en_42800710.mp3	f951153fc40929a7499d2dfbe49e2265a828bfe03b3fa35bae864e6aedf16a6e	He is co-creator Peter Laird's favorite Turtle.		0	3			United States English,Dutch,Wonky		en	
